Unit,Time,Setting1,Setting2,Setting3,FanInletTemp,LPCOutletTemp,HPCOutletTemp,LPTOutletTemp,FanInletPres,BypassDuctPres,TotalHPCOutletPres,PhysFanSpeed,PhysCoreSpeed,EnginePresRatio,StaticHPCOutletPres,FuelFlowRatio,CorrFanSpeed,CorrCoreSpeed,BypassRatio,BurnerFuelAirRatio,BleedEnthalpy,DemandFanSpeed,DemandCorrFanSpeed,HPTCoolantBleed,LPTCoolantBleed
98,1,0.0019,-0.0002,100,518.67,642.3,1580.93,1404.55,14.62,21.61,554.16,2388,9073.83,1.3,47.25,522.3,2387.97,8150.69,8.3792,0.03,392,2388,100,39.01,23.4547
98,2,0.0025,0,100,518.67,642.13,1585.29,1394.47,14.62,21.61,552.75,2388.03,9070.74,1.3,47.03,521.8,2388.03,8147.03,8.4158,0.03,392,2388,100,38.91,23.3055
98,3,-0.0011,-0.0005,100,518.67,642.35,1582.27,1396.33,14.62,21.61,555.45,2387.94,9068.22,1.3,47.22,522.47,2387.99,8149.19,8.4124,0.03,391,2388,100,39.16,23.3677
98,4,-0.0009,-0.0004,100,518.67,641.8,1585.23,1398.98,14.62,21.61,554.99,2387.98,9068.93,1.3,47.07,522.19,2387.99,8156.01,8.45,0.03,391,2388,100,39.07,23.3832
98,5,-0.0011,0.0001,100,518.67,641.85,1592.31,1397.87,14.62,21.61,554.04,2388,9070.44,1.3,47.1,521.96,2387.92,8148.47,8.4068,0.03,392,2388,100,39.03,23.4866
98,6,0.0019,-0.0005,100,518.67,642.46,1581,1400.8,14.62,21.61,554.18,2387.99,9070.09,1.3,47.26,522.69,2387.95,8149.25,8.3922,0.03,390,2388,100,39.05,23.5227
98,7,-0.0042,-0.0003,100,518.67,642.08,1578.64,1405.97,14.62,21.61,554.72,2388.09,9066.95,1.3,47.21,522.58,2388.05,8145.93,8.3928,0.03,392,2388,100,38.92,23.3819
98,8,-0.0018,-0.0005,100,518.67,642.1,1583.29,1402.88,14.62,21.61,554.15,2388,9074.48,1.3,47.08,522.6,2388.04,8149.59,8.3901,0.03,391,2388,100,38.94,23.4539
98,9,0.0027,0.0004,100,518.67,642.22,1588.95,1393.89,14.62,21.61,554.81,2388.03,9071.66,1.3,47.15,522.75,2388,8146.29,8.3943,0.03,392,2388,100,38.94,23.4024
98,10,0.0024,-0.0004,100,518.67,642.07,1584.36,1396.5,14.62,21.61,552.81,2388.02,9075.91,1.3,47.24,522.49,2388.03,8148.87,8.4025,0.03,392,2388,100,38.99,23.5006
98,11,0.0012,-0.0001,100,518.67,642.6,1583.96,1401.37,14.62,21.61,554.39,2388,9073.5,1.3,47.09,522.39,2387.95,8153.29,8.4142,0.03,391,2388,100,39.01,23.383
98,12,-0.0031,-0.0005,100,518.67,641.87,1579.66,1397.29,14.62,21.61,554.43,2387.94,9069.02,1.3,47.28,522.59,2388.07,8150.29,8.3912,0.03,392,2388,100,38.94,23.3952
98,13,-0.0012,-0.0003,100,518.67,641.86,1578.11,1396.26,14.62,21.61,554.91,2387.97,9066.55,1.3,47.46,522.65,2388,8149.15,8.4239,0.03,391,2388,100,39.02,23.4809
98,14,0.0016,0.0001,100,518.67,642.74,1586.49,1393.15,14.62,21.61,554.62,2388.03,9071.68,1.3,47.36,521.81,2388.04,8150.04,8.3817,0.03,392,2388,100,39,23.5295
98,15,-0.0002,-0.0003,100,518.67,642.17,1584.16,1399.3,14.62,21.61,554.09,2388.02,9064.26,1.3,47.15,522.51,2387.98,8148.23,8.3773,0.03,393,2388,100,38.9,23.4568
98,16,0.0015,-0.0002,100,518.67,642.71,1584.08,1399.74,14.62,21.61,554.68,2388.01,9065.01,1.3,47.08,522.32,2387.97,8151.86,8.451,0.03,392,2388,100,39.3,23.4036
98,17,-0.0009,-0.0003,100,518.67,642.31,1588.54,1396.08,14.62,21.61,554.07,2388.05,9065,1.3,47.14,521.95,2388.01,8146.85,8.3717,0.03,392,2388,100,38.98,23.4329
98,18,-0.003,-0.0003,100,518.67,642.25,1588.99,1389.48,14.62,21.61,554.67,2388.03,9070.59,1.3,47.05,522.04,2388.01,8152.41,8.4145,0.03,391,2388,100,39.06,23.4741
98,19,0.0008,0.0002,100,518.67,641.98,1581.82,1401.22,14.62,21.61,553.62,2387.98,9062.51,1.3,47.22,522.23,2388,8148.7,8.4365,0.03,391,2388,100,38.96,23.4827
98,20,0.0004,-0,100,518.67,642.54,1592,1403.12,14.62,21.61,554.61,2387.99,9066.84,1.3,47.16,522.17,2387.99,8148.56,8.4288,0.03,391,2388,100,39.05,23.4116
98,21,-0.0024,0.0001,100,518.67,642.04,1580.39,1391.4,14.62,21.61,554.69,2387.95,9061.52,1.3,47.04,522.32,2388.04,8145.39,8.4007,0.03,391,2388,100,39.04,23.4487
98,22,0.0037,0.0001,100,518.67,641.79,1588.86,1404.83,14.62,21.61,554.52,2388,9058.49,1.3,47.3,522.35,2388.01,8148.13,8.4028,0.03,392,2388,100,38.99,23.3938
98,23,-0.0032,-0.0004,100,518.67,642.18,1586.09,1392.01,14.62,21.61,553.9,2388,9073.55,1.3,47.25,522.5,2388.01,8146.59,8.4143,0.03,394,2388,100,38.89,23.3942
98,24,-0.0026,0.0001,100,518.67,642.49,1587.08,1399.07,14.62,21.61,554.33,2388.04,9066.75,1.3,47.3,522.36,2388.04,8154.1,8.3925,0.03,392,2388,100,38.89,23.3854
98,25,-0.0007,-0.0003,100,518.67,642.29,1587.33,1399.04,14.62,21.61,553.75,2388.04,9065.66,1.3,47.18,522.05,2388.06,8150.95,8.4209,0.03,392,2388,100,39,23.3737
98,26,0.0013,0.0002,100,518.67,642.05,1582.42,1395.86,14.62,21.61,554.16,2388.02,9073.28,1.3,47.39,522.28,2388.02,8151.03,8.3736,0.03,393,2388,100,38.98,23.3906
98,27,0.0004,0.0002,100,518.67,642.23,1587.5,1397.2,14.62,21.61,554.44,2388.01,9062.15,1.3,47.12,522.36,2388,8148.26,8.3796,0.03,390,2388,100,39.05,23.5187
98,28,-0.0016,0,100,518.67,641.65,1579.76,1404.49,14.62,21.61,555.16,2387.98,9073.08,1.3,47.13,521.94,2387.98,8153.61,8.3892,0.03,391,2388,100,39.18,23.398
98,29,-0.0027,0.0001,100,518.67,642.39,1589.91,1395.46,14.62,21.61,553.99,2387.99,9069.19,1.3,47.24,523.04,2388,8151.65,8.3945,0.03,393,2388,100,39,23.3431
98,30,0.0024,-0.0001,100,518.67,641.85,1578.57,1403.12,14.62,21.61,554.13,2388.02,9073.59,1.3,47.14,522.55,2388.04,8145.23,8.4169,0.03,391,2388,100,38.84,23.3659
98,31,0.0003,-0.0002,100,518.67,642.29,1590.14,1395.81,14.62,21.61,554.19,2388,9060.52,1.3,47.26,522.24,2387.97,8146.64,8.4081,0.03,391,2388,100,39.01,23.3748
98,32,-0.0005,-0.0006,100,518.67,642.43,1577.66,1397.86,14.62,21.61,553.93,2388.03,9067.98,1.3,47.29,522.38,2388.01,8144.79,8.3847,0.03,392,2388,100,38.79,23.5033
98,33,0.0005,-0.0002,100,518.67,642.54,1583.68,1395.59,14.62,21.61,554.26,2388.01,9064.47,1.3,47.2,522.57,2388,8153.01,8.4139,0.03,391,2388,100,39.02,23.4388
98,34,-0.0023,-0,100,518.67,641.97,1576.7,1405.03,14.62,21.61,554.24,2388,9065.85,1.3,47.27,521.99,2387.96,8144.88,8.3934,0.03,392,2388,100,39,23.3007
98,35,0.0001,0.0002,100,518.67,642.49,1584.26,1394.32,14.62,21.61,554.38,2387.94,9071.88,1.3,47.31,522.37,2387.98,8150.64,8.3912,0.03,392,2388,100,39.09,23.4646
98,36,0.0029,0.0001,100,518.67,642.05,1585.2,1401,14.62,21.6,554.01,2388.04,9066.5,1.3,47.04,522.37,2388.04,8153.89,8.3897,0.03,392,2388,100,38.98,23.3563
98,37,0.0013,0.0003,100,518.67,642.08,1584.48,1397.06,14.62,21.61,554.57,2388.02,9067.98,1.3,47.35,522.05,2388.04,8148.05,8.3982,0.03,392,2388,100,38.91,23.4044
98,38,0.0003,-0.0001,100,518.67,642.19,1581.77,1403.97,14.62,21.61,553.92,2388,9069.11,1.3,46.93,521.63,2388.04,8147.58,8.3911,0.03,393,2388,100,39.16,23.4276
98,39,-0.0008,-0.0002,100,518.67,642.22,1591.83,1395.37,14.62,21.61,555.23,2388.05,9061.38,1.3,47.22,521.89,2387.99,8147.3,8.4405,0.03,392,2388,100,39.18,23.3503
98,40,0.0027,-0.0004,100,518.67,642.18,1586.95,1405.05,14.62,21.61,554.02,2388.06,9073.83,1.3,47.19,521.74,2388.03,8152.42,8.3915,0.03,393,2388,100,39.01,23.3683
98,41,-0.0024,-0.0004,100,518.67,642.12,1583.57,1397.44,14.62,21.61,555.03,2387.99,9061.36,1.3,47.17,522.81,2388.03,8143.86,8.4281,0.03,392,2388,100,38.98,23.3513
98,42,-0.0004,0.0004,100,518.67,642.49,1578.29,1399.01,14.62,21.61,553.78,2388.01,9073.44,1.3,47.15,521.97,2387.97,8148.38,8.4199,0.03,392,2388,100,38.99,23.4173
98,43,-0.0013,-0.0001,100,518.67,642.11,1586.62,1401.16,14.62,21.61,554.18,2388.01,9064.02,1.3,47.54,522.58,2388.02,8152.17,8.4134,0.03,392,2388,100,38.85,23.3247
98,44,0.0026,-0.0001,100,518.67,642.7,1588.84,1400.69,14.62,21.6,553.64,2387.95,9064.95,1.3,47.32,522.35,2388.02,8148.63,8.4107,0.03,392,2388,100,38.87,23.4442
98,45,0.0025,0.0003,100,518.67,642.04,1583.26,1402.79,14.62,21.61,554.24,2387.97,9074.64,1.3,47.12,522.11,2388.04,8151.01,8.4072,0.03,392,2388,100,38.94,23.3934
98,46,-0.0006,0.0001,100,518.67,642.26,1579.48,1409.27,14.62,21.61,554.25,2388.06,9068.63,1.3,47.34,522.25,2388.03,8146.96,8.4034,0.03,392,2388,100,38.91,23.3597
98,47,-0.0043,0.0004,100,518.67,642.08,1593.46,1391.23,14.62,21.61,554.49,2388.03,9068.46,1.3,47.17,522.77,2388.07,8154.77,8.432,0.03,391,2388,100,38.9,23.3767
98,48,-0.0033,-0.0004,100,518.67,642.02,1580.31,1403.28,14.62,21.61,553.65,2388.04,9062.33,1.3,47.28,522.31,2388.02,8150.97,8.4227,0.03,391,2388,100,38.97,23.3767
98,49,0.0006,-0.0001,100,518.67,642.44,1584.88,1399.16,14.62,21.61,554.09,2387.96,9060.72,1.3,47.31,522.52,2388.03,8150.57,8.4078,0.03,391,2388,100,38.83,23.4616
98,50,0.0008,-0.0002,100,518.67,642.61,1582.93,1390.36,14.62,21.61,554.9,2388.05,9063.93,1.3,47.38,522.45,2388.12,8148.6,8.4068,0.03,391,2388,100,38.9,23.3734
98,51,0.0031,0.0002,100,518.67,642.37,1585.49,1397.87,14.62,21.61,553.86,2388.04,9063.93,1.3,47.37,522.18,2388.04,8151.65,8.4103,0.03,393,2388,100,39.06,23.2097
98,52,-0.005,-0.0002,100,518.67,641.94,1586.48,1401.36,14.62,21.61,554.23,2388.05,9074.7,1.3,47.28,522.13,2387.99,8147.34,8.3842,0.03,392,2388,100,39.14,23.3048
98,53,0.0003,0,100,518.67,642.13,1578.09,1406.78,14.62,21.61,553.9,2387.98,9071.23,1.3,47.43,522.07,2388.04,8149.6,8.4258,0.03,391,2388,100,38.91,23.4229
98,54,0.0037,-0.0002,100,518.67,641.98,1582.21,1403.17,14.62,21.61,553.77,2388.03,9067.85,1.3,47.22,521.58,2388.01,8147.18,8.418,0.03,392,2388,100,38.83,23.3561
98,55,-0.0017,-0,100,518.67,642.27,1586.97,1395.14,14.62,21.61,554.31,2388.02,9072.53,1.3,47.35,522.42,2388.03,8150.9,8.4046,0.03,391,2388,100,38.97,23.5461
98,56,-0.0005,-0.0002,100,518.67,642.07,1583.54,1409.74,14.62,21.61,554.37,2388.07,9066.47,1.3,47.32,521.73,2388.04,8152.07,8.4141,0.03,393,2388,100,38.96,23.42
