Unit,Time,Setting1,Setting2,Setting3,FanInletTemp,LPCOutletTemp,HPCOutletTemp,LPTOutletTemp,FanInletPres,BypassDuctPres,TotalHPCOutletPres,PhysFanSpeed,PhysCoreSpeed,EnginePresRatio,StaticHPCOutletPres,FuelFlowRatio,CorrFanSpeed,CorrCoreSpeed,BypassRatio,BurnerFuelAirRatio,BleedEnthalpy,DemandFanSpeed,DemandCorrFanSpeed,HPTCoolantBleed,LPTCoolantBleed
94,1,0.0014,-0.0001,100,518.67,642.44,1590.79,1412.71,14.62,21.61,554.09,2388.11,9050.18,1.3,47.6,521.1,2388.13,8120.76,8.431,0.03,393,2388,100,38.82,23.3856
94,2,-0.0023,-0,100,518.67,642.73,1594.18,1404.4,14.62,21.61,554.05,2388.13,9046.86,1.3,47.46,521.43,2388.11,8126.19,8.426,0.03,393,2388,100,38.8,23.3724
94,3,0.0006,-0.0005,100,518.67,643.09,1587.94,1408.19,14.62,21.61,553.39,2388.13,9047.44,1.3,47.66,521.24,2388.13,8130.38,8.4463,0.03,392,2388,100,38.72,23.3329
94,4,-0.0018,0.0002,100,518.67,642.74,1590.48,1410.26,14.62,21.61,553.72,2388.14,9042.37,1.3,47.7,521.37,2388.11,8126.63,8.4531,0.03,393,2388,100,38.83,23.3149
94,5,0.0021,0.0002,100,518.67,642.88,1584.48,1409.54,14.62,21.61,554.14,2388.14,9052.69,1.3,47.52,520.9,2388.17,8129.45,8.4645,0.03,392,2388,100,38.74,23.278
94,6,0.0023,-0.0004,100,518.67,642.22,1591.72,1407.86,14.62,21.61,553.48,2388.13,9044.41,1.3,47.56,521.29,2388.14,8122.46,8.4455,0.03,394,2388,100,38.87,23.2612
94,7,0.0007,0.0002,100,518.67,642.97,1589.78,1404.21,14.62,21.61,553.08,2388.17,9048.09,1.3,47.57,521.14,2388.18,8128.42,8.4142,0.03,393,2388,100,38.86,23.2795
94,8,-0.0007,0.0001,100,518.67,642.52,1588.59,1409.73,14.62,21.61,553.47,2388.1,9049.85,1.3,47.55,521.08,2388.14,8122.66,8.4401,0.03,394,2388,100,38.93,23.1523
94,9,0.0003,0.0001,100,518.67,642.89,1593.17,1408.81,14.62,21.61,553.39,2388.16,9044.39,1.3,47.55,521.43,2388.09,8122.34,8.4478,0.03,393,2388,100,38.83,23.2897
94,10,-0.0017,-0.0003,100,518.67,642.04,1587.15,1405.05,14.62,21.61,553.79,2388.14,9049.58,1.3,47.48,521.65,2388.14,8125.75,8.4085,0.03,395,2388,100,38.98,23.344
94,11,-0.0008,-0,100,518.67,642.57,1588.92,1408,14.62,21.61,552.95,2388.13,9046.44,1.3,47.56,521.03,2388.11,8128.03,8.4192,0.03,391,2388,100,38.81,23.2437
94,12,-0.0032,-0.0005,100,518.67,642.74,1589.91,1414.13,14.62,21.61,553.09,2388.15,9047.25,1.3,47.54,521.36,2388.13,8129.91,8.4136,0.03,394,2388,100,38.83,23.3718
94,13,-0.0008,0.0003,100,518.67,643.39,1590.95,1407.04,14.62,21.61,554.46,2388.17,9042.54,1.3,47.63,521.14,2388.13,8134.34,8.504,0.03,394,2388,100,38.81,23.3233
94,14,0.0007,0.0004,100,518.67,642.6,1593.44,1412.94,14.62,21.61,553.12,2388.12,9044.22,1.3,47.58,521.45,2388.13,8123.96,8.4433,0.03,393,2388,100,38.82,23.2344
94,15,-0.0008,0.0001,100,518.67,642.69,1587.27,1405.2,14.62,21.61,553,2388.17,9046.89,1.3,47.54,521.48,2388.16,8129.89,8.4235,0.03,393,2388,100,38.77,23.2681
94,16,-0.0003,-0.0003,100,518.67,643.14,1594.29,1409.58,14.62,21.61,553.24,2388.14,9046.53,1.3,47.72,521.3,2388.06,8128.81,8.4167,0.03,392,2388,100,38.88,23.3135
94,17,0.0022,-0.0002,100,518.67,642.72,1588.34,1407.18,14.62,21.61,553.49,2388.08,9053.83,1.3,47.43,521.66,2388.11,8124.04,8.4182,0.03,395,2388,100,38.82,23.3268
94,18,0.0015,-0.0004,100,518.67,643.58,1591.88,1411.04,14.62,21.61,552.85,2388.14,9042.85,1.3,47.57,521.3,2388.16,8125.13,8.4391,0.03,392,2388,100,38.81,23.316
94,19,0.0038,-0.0004,100,518.67,642.65,1588.34,1408.13,14.62,21.61,553.1,2388.13,9038.02,1.3,47.55,520.77,2388.17,8127.85,8.4403,0.03,393,2388,100,38.75,23.1817
94,20,-0.0004,0.0002,100,518.67,642.65,1584.61,1410.11,14.62,21.61,552.91,2388.12,9038.2,1.3,47.39,521.19,2388.16,8126.79,8.4459,0.03,393,2388,100,38.87,23.2433
94,21,0.0007,0,100,518.67,642.92,1592.66,1413.1,14.62,21.61,554,2388.15,9042.34,1.3,47.6,521.19,2388.1,8128.5,8.4294,0.03,393,2388,100,39.02,23.2572
94,22,-0.0025,-0.0001,100,518.67,642.76,1597.76,1406.16,14.62,21.61,552.87,2388.07,9044.79,1.3,47.57,521.75,2388.09,8121.9,8.4522,0.03,394,2388,100,38.85,23.3212
94,23,0.0009,-0,100,518.67,642.49,1587.83,1408.72,14.62,21.61,553.82,2388.15,9044.74,1.3,47.58,521.73,2388.12,8127.97,8.4303,0.03,392,2388,100,39.06,23.3325
94,24,-0.0016,-0.0005,100,518.67,642.7,1582.29,1406.91,14.62,21.61,553.19,2388.08,9038.85,1.3,47.54,522.03,2388.19,8124.65,8.4534,0.03,394,2388,100,38.79,23.2931
94,25,0.004,0.0001,100,518.67,642.62,1582.15,1410.33,14.62,21.61,554.24,2388.08,9042.03,1.3,47.64,521.09,2388.12,8126.59,8.4209,0.03,393,2388,100,39.05,23.3355
94,26,-0,0.0001,100,518.67,642.37,1589.72,1414.06,14.62,21.61,553.66,2388.12,9044.23,1.3,47.46,521.18,2388.16,8122.65,8.4372,0.03,393,2388,100,38.66,23.3204
94,27,-0.0031,0.0001,100,518.67,642.7,1592.66,1410.87,14.62,21.61,553.39,2388.08,9035.75,1.3,47.64,521.07,2388.1,8125.36,8.4312,0.03,395,2388,100,38.9,23.2716
94,28,-0.0002,-0.0003,100,518.67,642.83,1592.76,1408.13,14.62,21.61,553.49,2388.2,9043.79,1.3,47.52,521.54,2388.14,8126.92,8.4462,0.03,394,2388,100,38.92,23.3661
94,29,0.002,-0.0003,100,518.67,642.92,1596.64,1407.04,14.62,21.61,553.28,2388.14,9041.21,1.3,47.56,521.16,2388.14,8124.6,8.4462,0.03,393,2388,100,38.65,23.336
94,30,-0,0.0001,100,518.67,642.64,1594.97,1411.08,14.62,21.61,553.46,2388.16,9055.34,1.3,47.69,521.14,2388.15,8128.22,8.4806,0.03,394,2388,100,39.03,23.2881
94,31,0.0047,-0.0001,100,518.67,642.05,1584,1402.17,14.62,21.61,552.98,2388.1,9045.48,1.3,47.73,521.51,2388.09,8124.73,8.4242,0.03,394,2388,100,38.72,23.2202
94,32,-0.0018,0.0004,100,518.67,642.29,1586.9,1408.64,14.62,21.61,553.43,2388.13,9042.48,1.3,47.55,521,2388.14,8125.32,8.4683,0.03,393,2388,100,38.82,23.3429
